market,pct,holding,regime,event_n,event_avg_return,event_median_return,event_win_rate,event_avg_mdd,random_n,random_avg_return,random_median_return,random_win_rate,random_avg_mdd,excess_avg_return,excess_win_rate,excess_avg_mdd
SPY,1,20,ABOVE,5,0.03517211687575006,0.04978072755201679,0.8,-0.034760500914019964,5,0.022162393982968175,0.02329431028196738,1.0,-0.020645949629724304,0.013009722892781884,-0.19999999999999996,-0.01411455128429566
SPY,1,20,BELOW,51,0.011827293324480959,0.015860185113953706,0.5490196078431373,-0.10351728019520468,51,0.014272939827115682,0.0225748496046545,0.6078431372549019,-0.051348948390178485,-0.002445646502634723,-0.05882352941176461,-0.05216833180502619
SPY,1,60,ALL,56,0.0534765510295141,0.05591328010098573,0.6428571428571429,-0.12044024842304145,56,0.027113888026600856,0.033449961541780704,0.7678571428571429,-0.05208630162563659,0.02636266300291324,-0.125,-0.06835394679740486
SPY,1,60,ABOVE,5,0.04530934436505105,0.04602314867552315,1.0,-0.034760500914019964,5,0.024431049843891085,-0.000429858928214788,0.4,-0.01770257355590783,0.020878294521159968,0.6,-0.017057927358112134
SPY,1,60,BELOW,51,0.05427725756524577,0.05617611569710923,0.6078431372549019,-0.12884022366902395,51,0.047029924927909576,0.04366138757658544,0.6666666666666666,-0.07209372172787058,0.007247332637336193,-0.05882352941176472,-0.05674650194115337
SPY,5,1,ALL,278,0.001461604635899273,0.0003652298055190073,0.5143884892086331,-0.013980507229472985,278,-0.00023344813918239245,-8.61474532132811e-05,0.4784172661870504,-0.007104854860469678,0.0016950527750816654,0.03597122302158273,-0.006875652369003307
SPY,5,1,ABOVE,93,-0.0009441231628926215,0.0009384957376770142,0.5376344086021505,-0.00910035865679003,93,0.0010479018371900729,0.0008294593353974644,0.5913978494623656,-0.004361471036753386,-0.0019920250000826944,-0.05376344086021512,-0.004738887620036643
SPY,5,1,BELOW,185,0.002670970502318982,7.189814015684526e-05,0.5027027027027027,-0.016433771106551445,185,-0.0009200947667684548,0.0012544970173025138,0.5243243243243243,-0.010724851018486267,0.003591065269087437,-0.021621621621621623,-0.005708920088065178
SPY,5,3,ALL,278,0.0031065267533632404,0.0033442673556548508,0.5431654676258992,-0.0254754921883751,278,0.0002593973499138063,0.0023093924446973,0.579136690647482,-0.013077661576166043,0.002847129403449434,-0.03597122302158273,-0.012397830612209056
SPY,5,3,ABOVE,93,-0.0008663752999337515,0.0007224308950868341,0.5268817204301075,-0.017593787163781623,93,0.0020620473602121795,0.0030052668891322742,0.6666666666666666,-0.009138231913271101,-0.002928422660145931,-0.13978494623655913,-0.008455555250510522
SPY,5,3,BELOW,185,0.005103715353128755,0.005152434466866751,0.5513513513513514,-0.029437646606143706,185,0.0016126757109716616,0.003628167646513969,0.5837837837837838,-0.02179355893352023,0.0034910396421570936,-0.032432432432432434,-0.007644087672623475
SPY,5,5,ALL,278,0.004208681618889231,0.005552487582759724,0.5467625899280576,-0.034104477519071384,278,-0.00036022940608048667,0.0007150815021732537,0.5179856115107914,-0.018202416829503753,0.004568911024969718,0.02877697841726623,-0.01590206068956763
SPY,5,5,ABOVE,93,0.0025428400105615323,0.0056610763583822,0.5591397849462365,-0.02263659943197359,93,0.002384102860561045,0.0036250488146900572,0.6236559139784946,-0.011490226441545145,0.00015873715000048723,-0.06451612903225812,-0.011146372990428444
SPY,5,5,BELOW,185,0.005046104697670182,0.0054438988071372485,0.5405405405405406,-0.039869410827720546,185,0.0010651524217330105,-0.0010042272937715868,0.4864864864864865,-0.02983143740904947,0.003980952275937172,0.05405405405405406,-0.010037973418671076
SPY,5,10,ALL,278,0.0073313813575617585,0.015629304650976894,0.6079136690647482,-0.045998578288061816,278,0.00479243859394552,0.00888366376217875,0.6690647482014388,-0.02231328907827011,0.0025389427636162386,-0.0611510791366906,-0.023685289209791707
SPY,5,10,ABOVE,93,0.008311195458002744,0.014751747986815333,0.6236559139784946,-0.030364922153479385,93,0.002375018673927238,0.006115615202040292,0.6559139784946236,-0.02048333717049855,0.0059361767840755055,-0.032258064516129004,-0.009881584982980834
SPY,5,10,BELOW,185,0.006838826161123857,0.01775756513074378,0.6,-0.053857659480041085,185,0.004012321808170512,0.008480720106448958,0.572972972972973,-0.03907851980255338,0.002826504352953345,0.027027027027026973,-0.014779139677487708
SPY,5,20,ALL,278,0.0120827700837833,0.01877942260075416,0.6258992805755396,-0.06158819720326622,278,0.01164491692908347,0.01153736352268564,0.6906474820143885,-0.031484183578760275,0.00043785315469982954,-0.06474820143884896,-0.030104013624505946
SPY,5,20,ABOVE,93,0.01076086450599598,0.02060057438381646,0.6881720430107527,-0.04285633288399586,93,0.011016931829366035,0.016111631715322927,0.6989247311827957,-0.021882689587807515,-0.00025606732337005514,-0.010752688172043001,-0.020973643296188345
SPY,5,20,BELOW,185,0.012747295590454762,0.016440680177822964,0.5945945945945946,-0.07100475602322376,185,0.015502236501914518,0.026567877879840607,0.654054054054054,-0.049607639694639084,-0.0027549409114597558,-0.05945945945945941,-0.021397116328584674
SPY,5,60,ALL,277,0.03741169418643853,0.048517226722836426,0.6642599277978339,-0.08878923206393038,277,0.021930352445686672,0.027841800907733916,0.6678700361010831,-0.05428235954511469,0.015481341740751855,-0.0036101083032491488,-0.03450687251881569
SPY,5,60,ABOVE,92,0.0327716942195433,0.041588834127057606,0.717391304347826,-0.0609740741813089,92,0.023671988263573803,0.025631819108104525,0.6956521739130435,-0.04170160239721674,0.009099705955969494,0.021739130434782594,-0.01927247178409216
SPY,5,60,BELOW,185,0.039719153629435074,0.05100520683683141,0.6378378378378379,-0.10262163490285567,185,0.019545544270975056,0.05436944232681684,0.654054054054054,-0.09389556559136701,0.020173609358460017,-0.01621621621621616,-0.008726069311488657
